Pop;Longitude;Latitude
Mallorca4;3.086389;39.593889
Canaries1;-17.183333;28.183333
Canaries2;-13.516667;29.066667
Mallorca1;3.334556;39.736389
Tunisia1;10.3334;33.1
Mallorca2;2.969972;39.791583
Mallorca3;2.326528;39.587194
Israel4;35.138054;32.774036
Israel1;35.13541;31.478596
SicilyQVL1;12.35165;37.924313
SicilyVMO1;13.3382;38.193739
Morocco1;-9.7525;31.248333
Greece1;22.852944;37.262486
Alicante2;0.218889;38.755556
Almeria1;-2.143111;36.733917
Jaen1;-2.803583;38.192444
Jaen2;-3.022778;37.768056
Israel6;35.0691;31.7117
Israel7;34.9735;31.7212
Israel8;34.9009;31.6223
Israel9;34.9041;31.5467
Formentera1;1.410785;38.66128
Granada1;-3.78333;37.33333
Albacete1;-2.48333;38.66667
