Pop;PC1;PC2;PC3;Colour
Mallorca4_2;-0.390126215;8.651045698;-10.07732457;#ff0000
Mallorca4_3;2.739781796;12.1499241;-10.11168834;#ff0000
Canaries1_1;34.28308476;-26.19182792;-7.096168275;#04fc04
Canaries1_2;32.47940569;-24.37509849;-6.26048141;#04fc04
Canaries1_3;33.3238771;-25.47041502;-6.227558047;#04fc04
Canaries2_Canaries2;16.54158018;-13.92360742;-4.794023248;#04fc04
Mallorca1_1;5.355600705;8.78196053;-2.817728021;#ff0000
Mallorca1_2;3.974024372;10.6354608;-4.171370901;#ff0000
Mallorca1_3;5.756985686;9.778251455;-3.126165546;#ff0000
Tunisia1_1;-2.832324608;-1.953272058;11.1320826;#fcfc04
Tunisia1_2;-2.510577724;-2.1106047;9.632421568;#fcfc04
Tunisia1_3;-3.20392384;-2.986645503;12.31724389;#fcfc04
Mallorca2_1;2.675534367;12.96299081;-7.710642185;#ff0000
Mallorca2_3;1.78050748;12.59784069;-8.092616188;#ff0000
Mallorca3_1;3.452992441;12.17843841;-6.127939005;#ff0000
Mallorca3_2;3.344061368;10.35451815;-4.679850144;#ff0000
Mallorca3_3;4.016711473;11.42000578;-5.365828801;#ff0000
Israel4_2;-0.321051795;1.838756938;22.81480141;#24144c
Israel1_3;-2.178095362;1.220404233;27.38877902;#24144c
SicilyQVL1_SicilyQVL1;4.672815508;6.547701654;-4.879235638;#ff0000
SicilyVMO1_SicilyVMO1;4.729593578;4.97922467;-3.492657059;#ff0000
Morocco1_Morocco1;-3.219497974;-5.377415076;9.23658586;#fcfc04
Greece1_1;4.646342079;24.33249994;-11.06300916;#fc04bc
Greece1_2;4.454027508;23.74376193;-10.76995175;#fc04bc
Greece1_3;4.525545717;24.27542348;-10.99520212;#fc04bc
Israel4_1;-2.93373239;1.757875076;26.55454796;#24144c
Israel1_1;-3.304028183;1.245919603;25.50934326;#24144c
Israel1_2;-2.218235016;0.999968468;19.12344043;#24144c
Alicante2_2;-2.472797236;-1.741890857;6.4521574;#fcfc04
Alicante2_3;-5.081596925;-3.395606957;9.568789091;#fcfc04
Alicante2_4;-4.971668359;-3.82303722;10.21353495;#fcfc04
Almeria1_1;-2.533766741;0.503457777;3.054945909;#fcfc04
Almeria1_8;-2.33304221;-0.118040198;3.127898847;#fcfc04
Jaen1_1;-25.68702845;-14.37991154;-15.96032834;#0404fc
Jaen1_2;-26.08932671;-14.63181384;-16.17629225;#0404fc
Jaen1_3;-25.82285695;-14.55727727;-16.0686749;#0404fc
Jaen2_1;-19.8219807;-16.9542098;-7.651437999;#0404fc
Jaen2_20;-16.81274963;-13.87696628;-5.444806786;#0404fc
Jaen2_3;-18.01406477;-15.08779006;-6.965591513;#0404fc
